Postcode,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
CV11,17397.1,5.8,18996.3,6.4,0.1325,17219.5,5.8,0.12350000000000001,17101.5,5.9,15642.9,5.1,12699.2,4.4,16891.4,5.6,16032.4,5.2,18658.8,6.1,0.1628,19170.5,6.2,0.1596
CV12,13538.1,4.7,15317.4,5.2,0.13840000000000002,13540.6,4.6,0.1248,8980.8,3.3,11067.9,4.0,14476.4,4.9,16993.0,5.6,15575.9,5.1,16020.3,5.2,0.16899999999999998,15255.5,5.1,0.1804
CV13,25047.5,7.9,26196.6,8.2,0.05820000000000001,26104.7,8.5,0.05670000000000001,26647.1,8.4,27282.6,8.7,24354.2,8.0,8173.9,2.7,18651.1,6.3,26726.5,8.9,0.0623,25868.1,8.3,0.08109999999999999
CV2,11012.0,3.9,11746.5,4.2,0.21710000000000002,11047.9,3.9,0.16849999999999998,12815.9,4.6,8623.2,3.2,8748.5,3.1,14686.2,5.1,11442.4,4.0,13398.1,4.7,0.25389999999999996,10688.1,3.9,0.28380000000000005
CV21,14526.8,4.7,13831.1,4.7,0.14520000000000002,13404.6,4.5,0.12349999999999998,13320.5,4.4,13943.5,4.6,13252.0,4.5,22461.3,7.4,13465.7,4.7,15299.1,5.3,0.17009999999999997,12203.5,4.0,0.2064
CV22,23570.6,7.5,22832.9,7.4,0.0815,22944.6,7.4,0.0704,19548.7,6.5,22251.6,7.4,18669.4,6.0,17295.8,5.7,24533.5,7.9,25317.5,8.3,0.08440000000000002,18798.8,6.2,0.15050000000000002
CV23,25741.3,8.2,28488.5,9.1,0.0459,27875.6,8.9,0.0485,25981.3,8.3,25465.3,8.1,22835.0,7.5,10142.5,3.7,21436.6,7.0,27913.6,9.2,0.0533,26578.2,8.6,0.0754
CV3,17552.6,5.8,18070.9,6.2,0.15809999999999996,17780.8,6.0,0.1339,17917.3,5.9,16067.4,5.4,16890.0,5.7,16674.0,5.6,14911.4,5.2,17044.5,5.7,0.20980000000000004,17242.7,5.6,0.19199999999999998
CV31,15064.1,5.1,14971.7,5.1,0.1375,16423.0,5.5,0.10540000000000001,14034.8,4.8,11402.9,4.0,13720.6,4.6,17465.9,5.6,13308.0,4.6,13619.1,4.6,0.19790000000000002,10511.4,3.6,0.24069999999999997
CV32,24588.1,8.0,24695.2,7.9,0.06980000000000001,23932.6,7.7,0.06570000000000001,25867.9,8.4,19401.3,6.5,21658.9,7.2,18900.8,6.3,19088.7,6.4,25436.3,8.1,0.07830000000000001,21906.9,7.2,0.1149
CV33,26680.3,8.5,27532.6,9.0,0.0509,27225.5,8.7,0.0512,26789.9,8.8,27308.1,9.0,25284.7,8.5,14654.6,4.9,22053.5,7.1,26890.1,8.8,0.06170000000000001,27104.9,8.7,0.07300000000000001
CV34,26448.2,8.7,24459.1,8.0,0.06949999999999999,25725.1,8.6,0.05900000000000001,24447.4,7.7,21884.9,7.2,24567.2,7.8,21472.3,6.9,19487.5,6.4,25152.9,8.2,0.0762,22294.9,7.3,0.1093
CV35,24792.7,8.0,27891.8,9.1,0.0512,28580.7,9.0,0.0454,28451.4,9.1,25862.4,8.5,27154.0,8.8,6653.3,2.5,14053.0,4.9,28262.7,9.2,0.053200000000000004,26346.5,8.5,0.07950000000000002
CV36,20527.0,6.777777777777778,21330.0,6.888888888888889,0.08600000000000001,25574.88888888889,8.222222222222221,0.05777777777777778,22066.777777777777,7.222222222222222,25726.222222222223,8.444444444444445,28732.0,9.333333333333334,11877.333333333334,4.333333333333333,11633.444444444445,3.888888888888889,22209.555555555555,7.222222222222222,0.10188888888888888,20904.222222222223,7.0,0.11733333333333335
